HP-AP	H5LP - A5LP	FF	MHScored	MHSkipped	MAScored	MASkipped	R
-17	-3	-0.11904761904761904	0.7692307692307693	2.0	2.230769230769231	1.2307692307692308	-1
-10	-4	-0.375	0.5	1.5	1.5	0.9166666666666666	-1
9	9	0.380952380952381	2.0	1.0769230769230769	1.1666666666666667	1.1666666666666667	1
11	3	0.4285714285714286	1.7857142857142858	1.2857142857142858	1.3846153846153846	1.2307692307692308	0
5	7	0.5238095238095237	1.2307692307692308	1.4615384615384615	1.2307692307692308	1.9230769230769231	1
-19	-6	-0.4464285714285714	0.5	1.5	1.7857142857142858	1.2857142857142858	-1
7	7	0.4285714285714286	2.2142857142857144	1.2142857142857142	1.0	1.1428571428571428	1
-12	-9	-0.0714285714285714	1.0	1.5	1.6428571428571428	1.0	-1
4	4	0.4285714285714286	1.5714285714285714	2.2142857142857144	1.2857142857142858	1.6428571428571428	1
-13	-4	0.01785714285714285	0.7857142857142857	1.9285714285714286	1.2142857142857142	1.4285714285714286	0
-14	-5	-0.14285714285714285	1.3076923076923077	1.1538461538461537	2.0714285714285716	0.8571428571428571	1
-22	-10	-0.42857142857142855	0.7142857142857143	1.9285714285714286	1.9285714285714286	1.0	-1
22	7	0.8571428571428572	2.357142857142857	1.1428571428571428	0.7857142857142857	1.8571428571428572	1
1	3	0.14285714285714285	1.4666666666666666	1.4	1.5384615384615385	1.1538461538461537	1
14	7	0.5	1.8	1.0	1.2142857142857142	1.8571428571428572	0
7	1	0.375	1.8	1.0	1.4666666666666666	1.4	1
8	0	0.5	2.1333333333333333	0.8666666666666667	1.6	1.1333333333333333	1
17	7	0.30357142857142855	1.5714285714285714	1.1428571428571428	0.7333333333333333	1.9333333333333333	1
-4	-3	0.25	1.8	1.0666666666666667	2.3333333333333335	1.0666666666666667	-1
23	6	0.75	1.8	1.2666666666666666	0.875	1.875	1
-12	-3	-0.125	0.8125	1.8125	1.5333333333333334	2.1333333333333333	0
-3	-1	0.4642857142857143	1.2666666666666666	1.3333333333333333	2.066666666666667	1.2666666666666666	1
7	1	0.42857142857142855	1.3333333333333333	1.7333333333333334	0.4666666666666667	1.6	1
-1	-1	0.0892857142857143	0.9333333333333333	1.0666666666666667	1.2142857142857142	1.0714285714285714	0
2	1	0.375	1.2666666666666666	1.5333333333333334	0.9333333333333333	1.4666666666666666	1
1	3	0.125	0.875	1.875	0.8125	1.8125	1
-9	-2	0.125	1.25	1.375	1.8125	1.0625	-1
7	0	0.25	1.5625	1.25	1.375	1.5	-1
6	3	0.3194444444444444	0.875	1.375	0.4375	1.5	0
-11	-6	0.125	1.4375	2.3125	2.0	0.9375	-1
1	0	0.375	1.5	1.3125	1.125	1.0625	1
-16	-4	-0.375	0.6875	1.9375	1.0	1.0	-1
-14	-3	0.0	2.0	1.375	2.1875	0.875	-1
9	5	0.3888888888888889	1.5	1.125	1.3125	1.75	1
3	2	0.5	2.25	1.0	1.6875	1.25	1
-3	-2	0.125	1.125	1.0625	1.5	1.125	1
-6	0	0.1111111111111111	0.5294117647058824	1.411764705882353	1.3529411764705883	2.2941176470588234	1
7	0	0.6666666666666667	2.1176470588235294	0.8235294117647058	2.1176470588235294	1.0	1
4	0	0.2222222222222222	1.588235294117647	1.1764705882352942	1.4705882352941178	1.1764705882352942	0
3	3	0.3333333333333333	1.0588235294117647	1.0	1.2352941176470589	1.411764705882353	1
14	4	0.2222222222222222	1.2352941176470589	1.2352941176470589	0.8823529411764706	2.0	-1
8	3	0.3333333333333333	1.8823529411764706	1.0588235294117647	1.4705882352941178	1.2352941176470589	1
9	7	0.4444444444444444	2.176470588235294	1.0588235294117647	2.0588235294117645	1.588235294117647	1
-12	-3	-0.125	0.7647058823529411	1.8823529411764706	1.0	1.2941176470588236	-1
-10	-5	0.16666666666666669	1.2352941176470589	1.7058823529411764	1.4705882352941178	1.2352941176470589	-1
15	5	0.4444444444444444	1.411764705882353	1.411764705882353	0.8235294117647058	1.8823529411764706	1
15	-3	0.5555555555555556	1.5	1.1666666666666667	0.5789473684210527	1.368421052631579	1
-4	3	0.2222222222222222	1.5555555555555556	1.1666666666666667	1.7777777777777777	1.1666666666666667	1
6	1	0.5666666666666667	1.5	2.3333333333333335	1.3333333333333333	1.8333333333333333	1
-11	-3	0.0	1.5555555555555556	1.3333333333333333	2.210526315789474	1.1578947368421053	0
1	2	-0.1111111111111111	0.8421052631578947	1.894736842105263	0.7777777777777778	1.8333333333333333	0
13	2	0.6666666666666667	2.1666666666666665	1.0	1.0555555555555556	1.1111111111111112	1
-2	-6	0.22222222222222227	1.1578947368421053	1.368421052631579	1.3333333333333333	1.3333333333333333	0
5	-1	0.4444444444444444	2.0	1.5	1.1666666666666667	1.2222222222222223	1
7	3	0.09999999999999998	0.5789473684210527	1.368421052631579	0.8421052631578947	1.894736842105263	1
15	6	0.6	2.210526315789474	1.1578947368421053	1.1578947368421053	1.368421052631579	1
-10	-1	-0.09999999999999998	1.05	1.35	1.631578947368421	1.1578947368421053	-1
-18	-6	0.0	1.1	1.35	2.1052631578947367	0.9473684210526315	-1
22	2	0.8	2.1666666666666665	0.7777777777777778	0.9473684210526315	1.3157894736842106	1
28	9	0.7	1.736842105263158	1.105263157894737	0.7368421052631579	1.7894736842105263	1
10	-2	0.6	1.5555555555555556	1.1111111111111112	1.55	2.2	1
-11	-3	0.2444444444444444	1.263157894736842	1.736842105263158	1.894736842105263	1.4210526315789473	0
-11	-8	0.0	1.3157894736842106	1.368421052631579	1.65	1.15	-1
-14	-7	0.0222222222222222	0.7368421052631579	1.7894736842105263	0.9473684210526315	1.3157894736842106	-1
11	9	0.39999999999999997	1.65	1.15	1.05	1.35	1
3	3	0.49999999999999994	1.55	2.2	1.1	1.35	1
-12	1	-0.05555555555555558	1.65	1.25	2.1052631578947367	0.8421052631578947	1
2	-1	0.27272727272727276	1.75	1.1	1.5714285714285714	1.1428571428571428	1
35	12	0.6272727272727273	2.238095238095238	1.1428571428571428	0.7894736842105263	1.894736842105263	1
6	-5	0.4	1.0476190476190477	1.2857142857142858	0.55	1.3	0
11	0	0.3181818181818182	1.4	1.7	0.85	2.0	1
-19	-5	-0.09090909090909088	1.25	1.35	2.05	0.9	-1
-7	0	0.15555555555555556	1.9	1.45	1.55	1.2	0
-8	-4	-0.036363636363636376	1.0	1.4285714285714286	1.65	1.25	-1
-7	-8	0.13636363636363635	1.55	1.2	2.238095238095238	1.1428571428571428	-1
14	8	0.609090909090909	1.5714285714285714	1.1428571428571428	1.0476190476190477	1.2857142857142858	1
-3	2	0.3181818181818182	1.0	1.2380952380952381	1.8095238095238095	1.4761904761904763	1
-4	6	0.06363636363636366	0.5714285714285714	1.2380952380952381	1.1904761904761905	1.3333333333333333	1
14	0	0.36363636363636365	1.1428571428571428	1.380952380952381	0.8	1.8	0
8	0	0.6	2.1	0.8	1.5909090909090908	1.1363636363636365	1
-32	-14	-0.45454545454545453	0.8095238095238095	1.9523809523809523	1.6818181818181819	1.0454545454545454	-1
-15	-6	-0.18181818181818182	0.7619047619047619	2.0	1.4761904761904763	1.6666666666666667	-1
20	5	0.9090909090909091	2.0	0.8571428571428571	1.4545454545454546	2.090909090909091	1
33	14	0.6363636363636364	1.6818181818181819	1.0454545454545454	0.7619047619047619	2.0	1
12	3	0.303030303030303	1.5909090909090908	1.1363636363636365	1.0	1.3636363636363635	-1
0	0	0.45454545454545453	1.4545454545454546	2.090909090909091	1.0	1.2380952380952381	0
-8	0	0.20909090909090908	0.9523809523809523	1.7619047619047619	0.5909090909090909	1.3636363636363635	1
12	8	0.2727272727272727	1.7272727272727273	1.3181818181818181	1.2272727272727273	1.4545454545454546	0
37	9	0.5	2.391304347826087	1.1304347826086956	0.8181818181818182	1.9090909090909092	0
-20	-5	0.12878787878787873	1.1363636363636365	1.3181818181818181	2.0	0.9545454545454546	1
-27	-2	-0.14545454545454545	1.4090909090909092	1.6818181818181819	2.0952380952380953	0.7619047619047619	-1
-11	-7	0.12878787878787873	1.7727272727272727	1.4545454545454546	1.565217391304348	1.0869565217391304	0
-9	-1	0.016666666666666663	1.2272727272727273	1.3181818181818181	1.5238095238095237	1.2380952380952381	1
-28	-10	-0.45454545454545453	0.7727272727272727	2.0	1.7272727272727273	1.3181818181818181	-1
-21	-3	-0.09090909090909088	1.0	1.5	2.391304347826087	1.1304347826086956	-1
15	6	0.6439393939393939	1.565217391304348	1.0869565217391304	1.391304347826087	2.0869565217391304	1
0	0	0.06060606060606061	0.9565217391304348	1.3043478260869565	1.173913043478261	1.2608695652173914	0
-10	2	0.16666666666666666	0.6086956521739131	1.3478260869565217	1.7391304347826086	1.434782608695652	0
-2	-7	0.08333333333333331	1.173913043478261	1.434782608695652	1.391304347826087	1.608695652173913	-1
15	6	0.5833333333333333	2.0434782608695654	0.6956521739130435	1.608695652173913	1.0434782608695652	1
10	-3	0.41666666666666674	1.434782608695652	1.173913043478261	1.1304347826086956	1.2608695652173914	-1
1	0	0.09090909090909091	0.8260869565217391	1.826086956521739	0.8695652173913043	1.7391304347826086	1
-34	-6	-0.45454545454545453	0.8260869565217391	2.1739130434782608	1.7826086956521738	1.173913043478261	-1
13	-1	0.5833333333333333	2.0869565217391304	0.9130434782608695	1.6521739130434783	1.434782608695652	1
-13	0	-0.037878787878787845	0.9565217391304348	1.4782608695652173	1.434782608695652	1.173913043478261	-1
-44	-8	-0.36363636363636365	0.8695652173913043	1.7391304347826086	2.0434782608695654	0.6956521739130435	-1
26	5	0.5256410256410257	2.375	1.0833333333333333	1.125	1.4583333333333333	1
11	3	0.25	1.7083333333333333	1.375	1.125	1.3333333333333333	1
-33	-14	-0.08333333333333326	1.3333333333333333	2.0833333333333335	2.0416666666666665	0.6666666666666666	-1
-40	-5	-0.21153846153846156	0.8333333333333334	1.75	2.0833333333333335	0.875	-1
23	5	0.6666666666666666	1.625	1.0	0.5833333333333334	1.375	1
-31	-3	-0.37820512820512825	0.8333333333333334	1.875	1.625	1.0833333333333333	-1
6	5	0.41666666666666674	1.2083333333333333	1.25	0.9583333333333334	1.5416666666666667	1
-5	-1	0.0	1.375	1.6666666666666667	1.0416666666666667	1.2916666666666667	-1
26	5	0.5	1.875	1.5	0.9166666666666666	2.2916666666666665	1
3	0	0.19871794871794873	1.75	1.1666666666666667	1.4166666666666667	1.1666666666666667	0
49	11	0.8461538461538461	2.12	0.68	0.84	1.96	1
35	7	0.75	1.6	1.04	0.8	1.72	1
-25	-6	-0.1923076923076923	0.6	1.4	1.76	1.16	-1
-21	-6	-0.07692307692307693	0.92	1.52	1.6	0.96	-1
-22	-6	-0.27564102564102566	1.04	1.36	2.4	1.08	-1
4	0	0.23076923076923078	1.44	1.16	1.68	1.4	1
-13	2	-0.07692307692307693	1.08	2.2	1.08	1.6	1
21	4	0.8461538461538461	2.16	0.88	1.84	1.6	1
6	9	0.4615384615384615	1.2	1.24	1.32	2.04	0
-1	-2	0.07692307692307693	1.12	1.36	1.4	1.64	-1
44	14	0.9230769230769231	2.1153846153846154	0.6538461538461539	0.5769230769230769	1.4230769230769231	1
3	-3	0.1428571428571429	2.3076923076923075	1.1153846153846154	1.6153846153846154	1.0	-1
23	4	0.2802197802197802	1.0769230769230769	1.3076923076923077	1.0384615384615385	2.1923076923076925	1
-18	-4	0.08791208791208793	0.8076923076923077	1.7307692307692308	1.3461538461538463	2.0	-1
-2	0	0.15384615384615385	1.0769230769230769	1.5769230769230769	0.9230769230769231	1.5	0
-11	-6	0.1923076923076923	1.5769230769230769	1.0384615384615385	2.1923076923076925	0.8846153846153846	-1
21	9	0.4120879120879121	1.7307692307692308	1.1153846153846154	1.0769230769230769	1.3461538461538463	1
-20	-4	-0.07692307692307693	0.8461538461538461	1.9230769230769231	1.1923076923076923	1.2307692307692308	0
-17	-4	-0.07692307692307693	1.3461538461538463	1.6153846153846154	1.4230769230769231	1.1153846153846154	-1
5	-1	0.3186813186813187	1.6923076923076923	1.4230769230769231	1.8461538461538463	1.6153846153846154	0
15	4	0.25824175824175827	1.4814814814814814	1.1111111111111112	1.0740740740740742	1.3703703703703705	1
2	0	0.3076923076923077	2.1481481481481484	0.9259259259259259	2.2962962962962963	1.1111111111111112	-1
26	5	0.5	1.2592592592592593	1.2222222222222223	1.037037037037037	2.2222222222222223	1
10	5	0.33516483516483514	1.5555555555555556	0.9629629629629629	1.6296296296296295	1.3703703703703705	0
-25	-9	-0.18131868131868129	0.8888888888888888	1.5185185185185186	1.7407407407407407	1.0740740740740742	-1
-20	-5	0.038461538461538436	1.3333333333333333	2.111111111111111	1.7037037037037037	1.037037037037037	-1
-17	-3	-0.07142857142857142	0.7777777777777778	1.6666666666666667	1.2962962962962963	1.5555555555555556	0
-7	-4	0.07142857142857142	0.5555555555555556	1.4444444444444444	1.1111111111111112	1.5185185185185186	-1
24	6	0.47252747252747257	1.8888888888888888	1.5925925925925926	0.8518518518518519	1.962962962962963	1
-37	-9	-0.25824175824175827	1.0740740740740742	1.3333333333333333	2.074074074074074	0.6666666666666666	0
20	1	0.5714285714285714	2.0714285714285716	0.6785714285714286	1.4642857142857142	1.1428571428571428	1
-12	-4	0.07142857142857142	1.0714285714285714	1.5	1.25	1.1785714285714286	-1
16	6	0.3285714285714286	1.1785714285714286	1.3214285714285714	0.5357142857142857	1.5357142857142858	1
14	1	0.3666666666666667	1.6071428571428572	1.3214285714285714	1.2857142857142858	2.0714285714285716	1
2	2	0.24761904761904763	1.8928571428571428	1.0357142857142858	1.5357142857142858	1.1785714285714286	1
46	8	0.6666666666666666	2.3214285714285716	1.0714285714285714	0.75	1.7142857142857142	1
-47	-8	-0.46190476190476193	0.8214285714285714	2.0	2.1785714285714284	0.8928571428571429	-1
-21	-1	-0.21428571428571427	1.0357142857142858	2.25	1.1428571428571428	1.3214285714285714	-1
0	0	0.14285714285714288	1.25	1.5357142857142858	0.8928571428571429	1.4642857142857142	-1
17	8	0.5333333333333333	1.7857142857142858	1.0714285714285714	1.8571428571428572	1.6428571428571428	1
24	5	0.4666666666666666	1.4482758620689655	1.103448275862069	1.0344827586206897	1.4827586206896552	1
-15	-2	0.10476190476190472	1.8620689655172413	1.6551724137931034	1.896551724137931	1.0689655172413792	0
43	7	0.6476190476190476	1.5862068965517242	1.1379310344827587	1.0	2.2758620689655173	1
-4	1	0.04285714285714287	1.0	1.4482758620689655	1.1724137931034482	1.4137931034482758	1
-25	-6	0.0	1.2413793103448276	2.0	1.7241379310344827	1.0344827586206897	0
-34	-7	-0.2	0.7241379310344828	1.6896551724137931	1.5862068965517242	1.2758620689655173	-1
-41	-9	-0.37619047619047624	0.5862068965517241	1.5862068965517242	2.3448275862068964	1.103448275862069	-1
34	8	0.661904761904762	2.206896551724138	0.896551724137931	1.2413793103448276	1.5862068965517242	1
-32	-3	-0.10952380952380958	1.206896551724138	1.1724137931034482	2.0344827586206895	0.6551724137931034	-1
21	6	0.2666666666666667	1.2413793103448276	1.3103448275862069	0.8275862068965517	2.0689655172413794	1
46	9	0.8666666666666667	2.2	0.8666666666666667	0.5666666666666667	1.6	1
-29	-9	-0.2	1.2333333333333334	1.6	1.7333333333333334	1.0333333333333334	-1
21	-1	0.30833333333333335	1.1666666666666667	1.4333333333333333	0.7666666666666667	1.6666666666666667	-1
17	4	0.3333333333333333	1.5666666666666667	1.2333333333333334	0.9666666666666667	1.4333333333333333	1
-29	-4	-0.23333333333333334	1.0	1.6	1.7	1.1	-1
-10	2	0.025000000000000022	2.3	1.1	2.0	0.6666666666666666	0
-20	-4	-0.12083333333333333	0.8333333333333334	2.1	1.3	1.9666666666666666	-1
-41	-6	-0.33333333333333337	1.0	2.2333333333333334	1.4333333333333333	1.1	0
4	-3	0.26666666666666666	1.8666666666666667	1.6666666666666667	1.2666666666666666	1.3333333333333333	0
11	-2	0.39999999999999997	1.8666666666666667	1.1	1.2333333333333334	1.1666666666666667	-1
27	6	0.41666666666666663	1.6774193548387097	1.096774193548387	1.2258064516129032	1.5806451612903225	0
9	-1	0.1875	0.5806451612903226	1.5806451612903225	1.0	2.193548387096774	0
39	7	0.6666666666666667	2.0	0.6451612903225806	1.1290322580645162	1.4516129032258065	1
-37	-6	-0.1875	0.9354838709677419	1.4838709677419355	2.225806451612903	0.8387096774193549	-1
-9	-1	0.2791666666666667	1.3225806451612903	2.0	1.903225806451613	1.6774193548387097	-1
-35	2	-0.1875	0.8064516129032258	1.6451612903225807	1.8387096774193548	1.1290322580645162	1
-7	-3	-0.04166666666666663	1.6774193548387097	1.096774193548387	2.3225806451612905	1.064516129032258	-1
42	7	0.5625	1.5161290322580645	1.064516129032258	0.8064516129032258	2.161290322580645	1
-7	-3	0.125	1.2580645161290323	1.1935483870967742	1.5806451612903225	1.2580645161290323	0
11	10	0.25	1.3225806451612903	1.2903225806451613	0.967741935483871	1.6451612903225807	1
0	7	0.1875	1.40625	1.9375	1.09375	1.53125	1
26	3	0.375	1.5625	1.28125	0.625	1.5625	-1
-31	-4	-0.25	1.0	1.65625	1.6875	1.125	0
-2	-6	0.25	1.84375	1.15625	1.53125	1.09375	0
30	3	0.3970588235294118	2.34375	1.03125	1.28125	1.34375	1
-19	-3	-0.125	0.78125	2.09375	0.90625	1.4375	0
-66	-8	-0.5625	0.96875	2.1875	2.0	0.625	-1
12	2	0.40441176470588236	2.1875	0.84375	1.65625	1.09375	0
-10	0	0.125	1.25	1.5625	1.25	1.21875	1
24	-1	0.4375	1.875	1.65625	0.8125	1.625	0
28	7	0.5110294117647058	1.696969696969697	1.121212121212121	0.9393939393939394	1.4848484848484849	1
-1	6	0.11764705882352944	1.6666666666666667	1.3636363636363635	1.9090909090909092	1.2727272727272727	1
-10	-8	0.11764705882352944	1.0909090909090908	1.5757575757575757	1.9090909090909092	1.6363636363636365	-1
53	9	0.8235294117647058	2.0606060606060606	0.6060606060606061	0.9696969696969697	1.7272727272727273	1
48	6	0.5294117647058824	1.8181818181818181	1.1515151515151516	0.8181818181818182	2.212121212121212	1
29	-2	0.47058823529411764	1.5151515151515151	1.121212121212121	0.6666666666666666	1.5454545454545454	-1
21	-6	0.3529411764705882	1.2424242424242424	1.2424242424242424	0.8484848484848485	1.606060606060606	-1
-35	-3	-0.27205882352941174	1.2727272727272727	1.5757575757575757	2.3333333333333335	1.0606060606060606	0
5	1	0.2941176470588235	1.303030303030303	1.3333333333333333	1.393939393939394	1.9393939393939394	1
-61	-8	-0.5294117647058824	0.9696969696969697	2.242424242424242	2.242424242424242	0.8484848484848485	-1
